Country,Sex,Age,Deaths,baseline,excess,excess_lp,excess_up,last_week,last_date
Austria,b,0,27,22.810179248667026,4.189820751332972,0,22,13,2020-03-30
Austria,b,5,7,6.395537092763931,0.6044629072360692,0,5,11,2020-03-16
Austria,b,10,14,13.653938168861568,0.3460618311384316,0,10,11,2020-03-16
Austria,b,15,33,31.289323635102704,1.710676364897295,0,21,13,2020-03-30
Austria,b,20,44,41.51699729766655,2.4830027023334473,0,25,13,2020-03-30
Austria,b,25,53,49.563872211486114,3.4361277885138843,0,29,13,2020-03-30
Austria,b,30,73,67.31556529933896,5.684434700661042,0,39,13,2020-03-30
Austria,b,35,96,86.70797856552026,9.292021434479732,0,53,14,2020-04-06
Austria,b,40,129,114.96604087464014,14.033959125359853,0,68,14,2020-04-06
Austria,b,45,182,158.55933675069872,23.44066324930128,0,88,14,2020-04-06
Austria,b,50,239,205.61368457045003,33.38631542954997,0,107,14,2020-04-06
Austria,b,55,278,234.86729345470002,43.132706545299975,0,120,14,2020-04-06
Austria,b,60,313,263.1664735703947,49.83352642960529,0,131,14,2020-04-06
Austria,b,65,416,346.7534301824733,69.24656981752669,0,166,14,2020-04-06
Austria,b,70,579,487.059638658644,91.94036134135597,1,207,14,2020-04-06
Austria,b,75,1066,986.5964454232653,79.40355457673473,0,244,14,2020-04-06
Austria,b,80,1306,1220.0069125826822,85.99308741731795,0,272,14,2020-04-06
Austria,b,85,2174,2043.07643858919,130.92356141081,0,371.04999999999995,14,2020-04-06
Austria,b,90,2731,2594.6010203248475,136.39897967515265,0,407.025,14,2020-04-06
Austria,b,95,1669,1505.9596566596892,163.04034334031087,1,365,14,2020-04-06
Austria,b,100,587,546.1569579589326,40.84304204106738,0,158.0499999999999,14,2020-04-06
Austria,b,Aggr,12016,11026.636721120014,989.3632788799855,2,2908.125,14,2020-04-06
Austria,f,0,6,5.513642779057523,0.48635722094247713,0,6,14,2020-04-06
Austria,f,5,10,9.140204922643028,0.8597950773569718,0,10,14,2020-04-06
Austria,f,10,3,2.0814055584416384,0.9185944415583616,0,3,14,2020-04-06
Austria,f,15,6,4.768574446947303,1.2314255530526963,0,6,14,2020-04-06
Austria,f,20,8,6.456728406531514,1.5432715934684857,0,8,14,2020-04-06
Austria,f,25,10,8.06408539074523,1.9359146092547688,0,8,14,2020-04-06
Austria,f,30,31,25.232117193992636,5.767882806007364,0,25,14,2020-04-06
Austria,f,35,32,28.227783955197932,3.772216044802069,0,26,14,2020-04-06
Austria,f,40,46,38.59779118114825,7.402208818851751,0,35.024999999999956,14,2020-04-06
Austria,f,45,64,53.92893098726671,10.071069012733291,0,43,14,2020-04-06
Austria,f,50,84,69.15245841567379,14.847541584326205,0,55.024999999999956,14,2020-04-06
Austria,f,55,99,82.14510501777426,16.854894982225744,0,58,14,2020-04-06
Austria,f,60,114,94.93451703435382,19.065482965646183,0,68.02499999999995,14,2020-04-06
Austria,f,65,158,130.46782145818534,27.53217854181467,0,84.02499999999995,14,2020-04-06
Austria,f,70,227,190.54064854460785,36.45935145539217,0,108,14,2020-04-06
Austria,f,75,436,364.45504980173985,71.54495019826015,0,173,14,2020-04-06
Austria,f,80,583,498.064186101107,84.93581389889302,0,200,14,2020-04-06
Austria,f,85,932,875.0106279964247,56.98937200357537,0,202,14,2020-04-06
Austria,f,90,1386,1314.3799127039056,71.62008729609454,0,254.02499999999998,14,2020-04-06
Austria,f,95,1089,980.3595956482473,108.64040435175272,0,272.0999999999998,14,2020-04-06
Austria,f,100,430,399.3230164046489,30.676983595351068,0,134,14,2020-04-06
Austria,f,Aggr,5754,5180.84420394864,573.1557960513601,0,1778.2249999999997,14,2020-04-06
Austria,m,5,3,2.2364715501283534,0.7635284498716466,0,3,13,2020-03-30
Austria,m,10,9,7.65588750272067,1.3441124972793297,0,9,13,2020-03-30
Austria,m,15,12,10.072401334101842,1.9275986658981572,0,12,13,2020-03-30
Austria,m,20,12,10.283883950489654,1.7161160495103456,0,10,13,2020-03-30
Austria,m,25,29,25.495464637230164,3.5045353627698344,0,21,13,2020-03-30
Austria,m,30,34,29.735884705699664,4.264115294300336,0,22,13,2020-03-30
Austria,m,35,50,43.56389357920074,6.436106420799261,0,33,13,2020-03-30
